"Contract No","Title","DAC Code","Organisation","Organisation Nationality","Country or Region","Action location","Amount in Euro","EC financing","Total cost in Euro","Duration","Duration Unit","Year"
130953,"Our ecology - our future",41081,"ADMINISTRATION OF MUNICIPAL INSTITUTION OZERSK TOWN DISTRICT","Russia ","Russia ","Kaliningrad region
Target group: administration, young people",51084,90,56760,15,"M",2007
129380,"Integrated Mine Action intervention in support of resettlement of returnees and local population of North Eastern Sudan. ",15250,"THE MINES ADVISORY GROUP","United Kingdom","Sudan","North Eastern Sudan:- Blue Nile, Gadared, Kassala and Red Sea States",1000000,100,1000000,19,"M",2007
114527,"Gestion durable et multifonctionnelle des paysages forestiers primaires à Madagascar pour la réduction de la pauvreté: Action pilote de gestion décentralisée et adaptative du corridor forestier de Manompana
",31200,"ASSOCIATION INTERCOOPERATION MADAGASCAR","Madagascar","Madagascar","Madagascar - Nord EST",1000000,74.9,1335090,48,"M",2007
141332,"Cooperation  in collaborated Creation of Waste Management System in Pskov Region ",14050,"ST PETERSBURG STATE UNIVERSITY OF ENGINEERING AND ECONOMY","Russia ","Russia ","Pskov, Porkhov. Pskov Region.
Target group: waste collection and recycling enterprises, municipal administration, industrial enterprises, students and schoolchildren, population.",245283,89.56,273882,18,"M",2007
128241,"Designs on Diversification (DOD)",32130,"BIRMINGHAM CHAMBER OF COMMERCE ANDINDUSTRY LBG","United Kingdom","South Asia Region","Birmingham (UK); Bangladesh; Nepal; Lyon (France)",419625,95,441710,24,"M",2007
140912,"Projet pilote de gestion villageoise de la biodiversité - RAPIDALIBORI",41020,"FONDATION INTERNATIONALE POUR LA SAUVEGARDE DE LA FAUNE","France","All Countries","Bénin (Commune de Banikoara, Département de l'Alibori)",1050000,80,1312500,48,"M",2007
141235,"Ranong Tsunami Affected Communities¿ Economic and Social Rehabilitation and Sustainability (RNG_TACESERS) ",16010,"RAKS THAI FOUNDATION","Thailand","Thailand","Ranong province, Southern Thailand",370031.09,86.86,426008.62,18,"M",2007
137233,"Promoting Inclusive Education in Kalikot",15162,"DALIT GAIRSARKARI SANSTHA MAHASANGH","Nepal","Nepal","Dalits and disabled school-aged children from Kalikot district NEPAL",49985,66.85,74775,24,"M",2007
141285,"New Lives After the Tsunami in Phang Nga province",16010,"POPULATION & COMMUNITY DEVELOPMENTASSOCIATION","Thailand","Thailand","Phang Nga province, Southern Thailand",457397.67,83.18,549889,18,"M",2007
141307,"ELE - EUEOM Sierra Leone",15161,"INTERNATIONAL ORGANIZATION FOR MIGRATION","Switzerland","Sierra Leone","Sierra Leone",3015000,100,3015000,24,"M",2007
139551,"Towards a society able to learn from the lessons of the past",15150,"QENDRA E REHABILITIMIT TE TE MBIJETUARVE TE TORTURES ASSOCIATION ARCT","Albania","Albania","Albania",48750,79.44,61370,8,"M",2007
140324,"Freedom of expression & information and freedom of the media in the South Caucasus and Moldova",15162,"CONSEIL DE L' EUROPE","France","Eastern Europe Region","Armenia, Azerbaijan, Georgia and Moldova.
The action is targeted at law and policy makers (officials involved in the development of legislation and policy), judges, prosecutors, members of broadcasting regulatory authorities, media professionals in Armenia, Azerbaijan, Georgia and Moldova.Activities will take place in the above mentioned countries.",500000,49.5,1010000,24,"M",2007
139582,"Harmonisation with EU norms of the legislation and standards of Ukraine in the field of civil aviation",21050,"INSTITUT DES SCIENCES ET TECHNIQUESDE L'EQUIPEMENT ET DE L'ENVIRONMENTPOUR LE DEVELOPPEMENT","France","Ukraine","Action provided for the Ministry of Transport and Communication of Ukraine - Kyiv, Ukraine.",995283.62,100,995283.62,18,"M",2007
117734,"Support for Palestinian media sector with focus on building sustainable mechanisms for professional development of journalists and media professionals",15162,"THE BBC WORLD SERVICE TRUST","United Kingdom","West Bank and Gaza Strip","Occupied Palestinian Territories",679796.68,80,849745.85,24,"M",2007
124612,"Protecting Historical Cultural Landscapes to stregthen regional identities and local economies",43030,"NACIONALNIJ UNIVERSITET LVIVSKA POLITEHNIKA","Ukraine","Ukraine","Location: Lvivskaya Oblast.
Target Group: general Population. ",216000,90,240000,24,"M",2007
133264,"Jerusalem Pitch Point",16061,"JERUSALEM CINEMATHEQUE-ISRAEL FILMARCHIVE ASSOCIATION","Israel","Israel","Israel",21664,67.79,31959,7,"M",2007
138391,"ATF 2001 CDC Cs14 Drainage nouvelles plantations et drainage complémentaire sur anciennes plantations",31162,"CAMEROON DEVELOPMENT CORPORATION","Cameroon","Cameroon","Tiko - Département du Fako - CAMEROUN",259179,60,431965,12,"M",2007
138537,"Dummy contract for contract 2002/034-220 - Development of SME companies information service centres at Kinggisepp and Johvi",32130,"KERAVAN KAUPUNKI","Finland","Tacis Region","Kinggisepp and Johvi",6843.24,100,6843.24,6,"M",2007
140602,"Reducing the occurrence of torture and ill treatment by the policemen in Chernivtsi, Lviv, Rivne and Transcarpathian regions",15162,"CHARITABLE ORGANIZATION YOUR RIGHT","Ukraine","Ukraine","Ukraine/ Lviv, Transcarpathian, Rivne, Chernivtsi regions
Target groups: detainees, police officers and investigators
",70346,89.85,78296,18,"M",2007
138186,"Relance économique et organisationnelle paysanne dans le bassin de la rivière Kwango",52000,"I.S.CO. SC","Italy","Congo (Democratic Republic of the)","RDC - province de Bandundu - populations de Popokabaka et Kasongo Lunda - activités de relance agricole et de renforcement des organisations paysannes avec priorité sur la filière post récolte et commercialisation",1598170,90,1775766,36,"M",2007
140687,"EU Contribution to the EBRD SME Finance Support to Regional Banks and Banks with Large Regional Branch Network ¿ 2nd Tranche ",24081,"EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT","United Kingdom","Ukraine","Beneficiaries: Commercial banks of Ukraine. Location: Kiev and different regions, where banks' branches are active.",1000000,100,1000000,39,"M",2007
144105,"Projet d'amélioration durable de la sécurité alimentaire par la fertilisation des sols dans la province du Nayala BF",52010,"ASSOCIATION SOS SAHEL INTERNATIONALFRANCE","France","Burkina Faso","Région de la Boucle du Mouhoun, Province du Nayala, 6 Communes (Gassan, Gossina, Kougny, Toma, Yaba, Yé)",1059300,90,1177000,48,"M",2007
144075,"Partenariat et innovations agropastorales pour relever la fertilité des sols des zones peuplées de l'Ouest du Burkina Faso (le cas de la province du Tuy): projet fertipartenaires",52010,"CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LEDEVELOPPEMENT EPIC","France","Burkina Faso","Provinces du Tuy, Communes de Békuy, Béréba, Boni, Founzan, Houndé, Koti et Koumbia ",1318438.49,90,1464931.65,48,"M",2007
146438,"Banana Belt Electrification",43040,"BELIZE ELECTRICITY LIMITED","Belize","Belize","Banana Belt Electrification in Monkey River, Bladen, Trio, San Isidro, San Pablo, Santa Cruz, Cowpen, Villages
Toledo & Stann Creek Districts
Belize",847088,46.57,1819118,24,"M",2007
140033,"Promotion of the Democratic and Active Participation among Young Population in Gaza Strip",15162,"SOCIETY OF REMEDIAL EDUCATION CENTER ASSOCIATION","West Bank and Gaza Strip","West Bank and Gaza Strip","Jabalia, Beit Lahia, Gaza city- Gaza Strip",91496.04,73.33,124773,12,"M",2007
146475,"Promoting the Democratic Practice within the Jordanian Community",15162,"REHABILITATION AND WELFARE SOCIETYASSOCIATION","Jordan","Mediterranean Region","Target Group : Community college students , Parliament member, political Parties members, NGOs, Media,¿

Place of Activities : South, North and Capital of Jordan (Amman)",98618,90,109575,16,"M",2007
145814,"People's involvement in torture prevention",15162,"PUBLIC UNION RURAL DEVELOPMENT INITIATIVES ASSOCIATION","Tajikistan","Tajikistan","Khudjand, Isfara,  Kanibadam, Chkalovsk, Kayrakkum, Taboshar, Asht, Matcha, Jabbor Rasulov, Spitamen, Ganchi,  Zafarabad, Istaravshan, Shahristan, Penjikent, Aini, Kuhistoni Mastchoh, Bobojon Gafurov towns and districts of Sughd region of the Republic of Tajikistan. Target group: People¿s assessors of the courts of Sughd region and indirect: victims of torture and their relatives.",45758.2,88.2,51880,12,"M",2007
135480,"Improving the Sexual and Reproductive Health of Pastoralist Communities in Bale Lowlands
",13020,"HEALTH LIMITED","United Kingdom","Ethiopia","Target groups: 25,000 women of child bearing age, 19,080 female and male aged 10-24 years, 25,000 adult men, 7 staff, 19 Ministry of Health workers, 38 birth attendants, 40 CBRHA, 10 volunteer PLWHA's, 20 youth facilitators. 

Oromia region, Bale zone, Rayitu and Sawena Woredas",730228.71,75,973638.28,48,"M",2007
135444,"Community action for the protection, empowerment and welfare of girls and young women in rural Zimbabwe
",11220,"CAMFED INTERNATIONAL LBG","United Kingdom","Zimbabwe","Binga, Chikomba, Gokwe North, Gokwe South, Kwekwe, Lupane, Matobo, Nkayi, Nyaminyami, Nyanga, Wedza, Buhera, Mt. Darwin, Umzingwane, Mwenezi, Shurugwi, Mudzi, Guruve-Mbire and 6 additional districts to be identified during the action",616437,75,821917,36,"M",2007
136496,"Promoting social development: building capacities of Social Watch
Coalitions",99820,"UCODEP-UNITY COOPERATION FOR DEVELOPMENT PEOPLE ONLUS","Italy","EU Europe ","Italie, Rép. Tchèque, Pologne, Belgique.
Groupes cibles: organisations de la société civile, grand public, décideurs politiques (niveaux: UE, national, local).",709987.8,75,946650.4,36,"M",2007
145487,"Prevenir y reducir la violencia basada en género entre los sectores más pobres, sub-urbanos y rurales del Estado Lara y Distrito Capital en Venezuela adoptando una metodologia nueva y un enfoque integral",13040,"ASSOCIAZIONE ITALIANA DONNE PER LOSVILUPPO","Italy","Venezuela","Estado Lara (comunidades suburbanas y rurales de 8 Municipios) y la Gran Caracas (Los Teques, Vargas y Miranda) inclusa Caracas (Distrito Capital).
Target Group: Jovenes y adultos de las comunidades beneficiarias",614594.63,75,819459.5,36,"M",2007
139432,"Fighting Discrimination of Roma Pupils in Primary School in Tuzla Canton",15162,"BOSANSKI SAVJET ZA POMOC TUZLA UDRUZENJE","Bosnia and Herzegovina","Cards Region","Tuzla Canton (Kreka, Mejdan and Kiseljak communities), Federation BiH
Target groups: 245 Roma pupils in 3 primary schools in TK",50983.15,90,56647.94,12,"M",2007
139178,"Campaign for preventing and combating occurences of bullying in primary schools ",15162,"VESTA HUMANITARNA ORGANIZACIJA","Bosnia and Herzegovina","Cards Region","Tuzla Canton and Central-Bosnian Canton (Federation BiH) and 
Municipality of Srebrenica and Bijeljina (RS), BiH

Target groups: 2200 students from the 5th to the 8th grade of five test primary schools in the Tuzla Canton  
25 representatives from five test primary schools in Tuzla Canton (teachers, students and parents)
",58282.69,90,64758.54,12,"M",2007
133946,"Capacity building for sustainable running water management and cost recovery in Zanzibar
",14030,"ASSOCIAZIONE DI COOPERAZIONE RURALEIN AFRICA E AMERICA LATINA ONLUS","Italy","Tanzania","village water committees, Zanzibar Water Authority, farmers groups

Tanzania, Zanzibar, Kaskazini B District",750000,71.45,1049742,36,"M",2007
145855,"Basic Education Sector Capacity Support Programme Component 1: Central, Provincial and District capacity development for decentrallisation",11110,"ASIAN DEVELOPMENT BANK","Philippines","Indonesia","The outcome of Component 1 managed under ADB is to support the development of Minimum Service Standard for education and to develop capacity of selected district, provincial and central levels.  Some districts and provinces in Indonesia will be selected once the programme is in full operation.  Program planning, monitoring and review responsibilities are located in the Office of the Secretary General of Ministry of National Education (MONE) in Jakarta.  Overall technical and financial management responsibilities are located in the MONE central office, Jakarta, Indonesia.",3955264,94.13,4202000,19,"M",2007
146515,"Promoting older people-led community action to reduce poverty among vulnerable groups in rural Rajasthan, India",43040,"HELPAGE INTERNATIONAL","United Kingdom","India","Jodhpur and Jaisalmer Districts of Rajasthan, India",749138.89,75,998851.86,54,"M",2007
146520,"Protection of human rights provided for in the regulations of International Covenant on Economic, Social and Culture rights",15162,"LEGAL INITIATIVA PUBLIC ASSOCIATION","Kazakhstan","Kazakhstan","Kazakhstan:Almaty",62955.72,89.89,70036.4,12,"M",2007
128283,"SIDEREUS Dialogue Concerning EU and Asia on Galileo-based application",32130,"SOCIETA FINANZIARIA LAZIALE DI SVILUPPO - FI.LA.S. SPA","Italy","Asia","It is foreseen that the direct beneficiaries in this project will be the SMEs and larger companies, which are expected to be around 300 European and Chinese SMEs working in the Aerospace sector. The matchmaking event will be held in Beijing China.",444300.11,75,592400.15,18,"M",2007
136769,"Decent work, trade and development: raising awareness among trade
unions and women´s groups of the employment implications of
international trade relations",99820,"WAR ON WANT","United Kingdom","EU Europe ","UK, Germany, Europe-wide including the new EU Member States, especially Bulgaria and Poland

Targets : Trade unions, women¿s groups, media, decision makers at EU and national levels, other EU civil society networks",720000,74.94,960765.82,36,"M",2007
130486,"ENHANCING ASYLUM CONDITIONS AND INTERNATIONAL PROTECTION IN THE REPUBLIC OF MOLDOVA",15162,"SALVATI COPIII MOLDOVA","Moldova","Moldova","MOLDOVA",500000,80,625000,36,"M",2007
133451,"Choice, Dignity and Integration for Devadasi and the Socially Excluded",15162,"THE LEPROSY MISSION ENGLAND, WALES, THE CHANNEL ISLANDS AND THE ISLE OF MAN","United Kingdom","India","Karnataka State (Belgaum district)",462989.53,75,617319.38,60,"M",2007
135919,"Capacity building of NGOs in Hungary, Poland and Czech Republic for mobilizing support for MDGs''",99820,"KENTRO ANAPTYXIS KAI EKPAIDEFSIS EVROPAIKI PROOPTIKI","Greece","EU Europe ","Location: Hungary, Poland, Czech Republic
Beneficiaries: 1. NG000 NGOs; 2. EN000 Schools; 3. ME000 Media; 4. Associations of doctors.",440000,74.58,590000,24,"M",2007
136776,"Changing the attitude of the European youth towards developing countries with the help of migrants",99820,"BAPTISTA SZERETETSZOLGALAT ALAPITVANY","Hungary","EU Europe ","Hungary, mainly Budapest
Italy, mainly Bologna
Czech Republic, mainly Prague

Target groups : 
- 3 consortium members
- secondary school students of Hungary, Italy and the CzRep
- larger public of the 3 countries
",471293.64,75,628391.53,24,"M",2007
136726,"PARTNERSHIP FOR CHANGE
The role of the Economic Partnership Agreements (EPAs) in implementing the Millennium Development Goals",99820,"AMICI DEI POPOLI ONLUS","Italy","EU Europe ","Italie, Pays-Bas, Royaume-Uni, Espagne
Groupes cibles: organisations de la société civile actives dans le domaine du développement, décideurs politiques (niveaux: UE, national), média, société civile.",781266.2,74.98,1041923.2,36,"M",2007
145610,"Proyecto para la Profesionalización de Periodistas Policiales y Judiciales con enfoque de Derechos Humanos",15162,"INSTITUTO PARA LA SEGURIDAD Y LA DEMOCRACIA AC","Mexico","Mexico","La acción se llevará a cabo en México y estará enfocada en los periodistas asignados a las fuentes policiales y judiciales, así como a los directivos de los medios de comunicación electrónicos, impresos y virtuales de México. También estará dirigida a estudiantes y egresados de las carreras de periodismo y comunicación; y a los comunicadores sociales.",80000,68.38,117000,18,"M",2007
135105,"Increase Access to Drinking Water for Rural communities and Strengthening of Local Water Structures in Rutana Province, Burundi.
",14030,"CHRISTIAN OUTREACH","United Kingdom","Burundi","Rutana Province, Burundi",679279.68,63.58,1068385.79,36,"M",2007
139181,"Stop violence against old persons",15162,"CRVENI KRIZ TUZLANSKOG KANTONA","Bosnia and Herzegovina","Cards Region","Tuzla Canton (Federation BiH), BiH

Target groups: Old persons in Tuzla Canton, staff from centres for social welfare and police stations",56783.7,90,63093,15,"M",2007
136990,"Planning and Land Effective Action Division (PLEAD) Establishment of Planning and Land Rights Clinic
",15162,"THE ARAB CENTER FOR ALTERNATIVE PLANNING ASSOCIATION","Israel","Israel","Israel - mainly Galilee, Negev and Arab neighbourhoods in mixed cities. ",98818,58.75,168200,18,"M",2007
146236,"Contrat de subvention : ''Appui 2008-2009 à l'ASSOBACAM''",31120,"ASSOCIATION BANANIERE DU CAMEROUN","Cameroon","Cameroon","Douala CAMEROUN",160600,100,160600,24,"M",2007
146297,"Mediaaktivist'': Actual Agenda for Siberian Mass Media",15162,"MEZHREGIONALNII OBSHTESTVENNII FONDOTKRITAYA SIBIR AGENTSVO REGIONALNOGO RAZVITIYA","Russia ","Russia ","Geographical location: Novosibirsk, Sioberia, Russia
Target groups: media reproters, NGO managers, officials of the regional government, city administration, territorial offices of the federal authorities.",91795,83.45,110000,14,"M",2007
130435,"MESURE DES FLUX MIGRATOIRES ET 
LUTTE CONTRE LA TRAITE DES MIGRANTS  AU NIGER
",15163,"REPUBLIQUE FRANCAISE","France","All Countries","NIGER
",960000,80,1200000,24,"M",2007
