"Contract No","Title","DAC Code","Contractor","Contractor Nationality","Country or Region","Action location","Amount in Euro","Type of contract","Duration","Duration Unit","Year"
145826,"Evaluation Methodology for European Commission's External Assistance - Translation to Portuguese of Evaluation Website","N/A","TAVISTOCK INSTITUTE OF HUMAN RELATIONS LBG","United Kingdom","All Countries","United Kingdom",25262.43,"Services",100,"J",2008
146921,"EC Coperation with the Lao PDR, Country level evaluation",91010,"DEVELOPMENT RESEARCHERS NETWORK SRL","Italy","Laos","LAOS",200000,"Services",592,"J",2008
146963,"Country and Regional Level Evaluations : Thailand, Malaysia and Asean",91010,"DEVELOPMENT RESEARCHERS NETWORK SRL","Italy","Asia","Thailand, Malaysia and ASEAN",500000,"Services",720,"J",2008
147820,"Evaluation of EC Cooperation with Angola",91010,"ECO STUDIEN SEPP & BUSACKER PARTNERSCHAFT","Germany","Angola","Angola",200000,"Services",610,"J",2008
148380,"Restitution semina Suva, Fiji - Evaluation of the Commission's support to the ACP Pacific Region","N/A","BCD TRAVEL BELGIUM NV","Belgium","Fiji","Seminar in Fiji",47086,"Services",15,"J",2008
148656,"Thematic global evaluation of European Commission support in the education sector in partner countries",91010,"EGEVAL EWIV EUROPEAN GROUP OF EVALUATION","Germany","All Countries","Thematic Global evaluation ",449997,"Services",1031,"J",2008
150606,"ORDER FORM 02 under Lot 1 - Follow-up of new evaluation insights, start-up and quality control of specific evaluations under this contract, as well as contract management (Tasks Art. 1.3.3.) for the second 12-month period of contract",91010,"EGEVAL EWIV EUROPEAN GROUP OF EVALUATION","Germany","All Countries","non specified ",25000,"Services",360,"J",2008
150647,"ORDER FORM 02 under Lot 2 - Follow-up of new evaluation insights, start-up and quality control of specific evaluations under this contract, as well as contract management (Tasks Art. 1.3.3.) for the second 12-month period of contract",91010,"EGEVAL EWIV EUROPEAN GROUP OF EVALUATION","Germany","All Countries","non specified",25000,"Services",360,"J",2008
150653,"ORDER FORM 02 under Lot 3 - Follow-up of new evaluation insights, start-up and quality control of specific evaluations under this contract, as well as contract management (Tasks Art. 1.3.3.) for the second 12-month period of contract   ",91010,"ECO STUDIEN SEPP & BUSACKER PARTNERSCHAFT","Germany","ACP Countries","non specified ACP countries",25000,"Services",360,"J",2008
150658,"ORDER FORM 02 under Lot 4 - Follow-up of new evaluation insights, start-up and quality control of specific evaluations under this contract, as well as contract management (Tasks Art. 1.3.3.) for the second 12-month period of contract   ",91010,"DEVELOPMENT RESEARCHERS NETWORK SRL","Italy","All Countries","non specified non-ACP countries",25000,"Services",360,"J",2008
150662,"ORDER FORM 02 under Lot 5 - Follow-up of new evaluation insights, start-up and quality control of specific evaluations under this contract, as well as contract management (Tasks Art. 1.3.3.) for the second 12-month period of contract   ",91010,"PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT","Germany","All Countries","non specified",25000,"Services",360,"J",2008
150666,"ORDER FORM 02 under Lot 6 - Follow-up of new evaluation insights, start-up and quality control of specific evaluations under this contract, as well as contract management (Tasks Art. 1.3.3.) for the second 12-month period of contract   ",91010,"TAVISTOCK INSTITUTE OF HUMAN RELATIONS LBG","United Kingdom","All Countries","non specified",10000,"Services",360,"J",2008
159785,"Country and Regional Level Evaluations: Nicaragua  ",91010,"DEVELOPMENT RESEARCHERS NETWORK SRL","Italy","All Countries","Nicaragua",199807,"Services",529,"J",2008
162914,"Evaluation of the European Commission's support to Namibia ",91010,"ECO STUDIEN SEPP & BUSACKER PARTNERSCHAFT","Germany","Namibia","Namibia",200000,"Services",540,"J",2008
165357,"Country Level Evaluation: Tunisia  ",91010,"DEVELOPMENT RESEARCHERS NETWORK SRL","Italy","All Countries","Tunisia",164996,"Services",540,"J",2008
165395,"Evaluation of the European Commission's co-operation with Burkina Faso ",91010,"ECO STUDIEN SEPP & BUSACKER PARTNERSCHAFT","Germany","Burkina Faso","Burkina Faso",200000,"Services",540,"J",2008
166326,"Evaluation of the European Commission's Co-operation with El Salvador - Country Level Evaluation  ",91010,"DEVELOPMENT RESEARCHERS NETWORK SRL","Italy","El Salvador","EL Salvador",199865,"Services",540,"J",2008
167594,"SCOPING AND MAPPING FOR THE EVALUATION OF CONFLICT PREVENTION",91010,"PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT","Germany","All Countries","non specified developing countries",119460,"Services",240,"J",2008
